Age,SSec_Category,Gender,Hobby,Education_Duration,Housing,Profession,Loan Status,Working_Hours,Investment,Loan,Dependents,Marital_Status,Yearly_Breaks,Number_of_Siblings,Employer_Kind,City,Income,Answer,Country,Debt_Paid,Id
37.0,4,F,9,14.0,Slum,0,Overdue,,2194.0,2000.0,2,,1,3,,38,75754.758,0,Canada,10706,0
48.0,4,F,9,14.0,Condo,3,Critical,15.0,20.0,2000.0,1,Single,0,3,MNC,38,81891.629,0,Canada,21018,1
36.0,4,F,11,10.0,Condo,5,EMI,42.0,20.0,2000.0,2,Married,1,3,MNC,38,210082.48899999997,0,Canada,13139,2
51.0,2,F,1,8.0,Condo,5,EMI,42.0,20.0,2000.0,1,Single,0,3,MNC,38,232032.185,0,Canada,35630,3
26.0,2,M,9,14.0,Slum,9,EMI,42.0,20.0,2000.0,6,Single,1,3,Self-employed,4,339569.26200000005,0,Canada,12797,4
35.0,4,M,12,15.0,Slum,3,EMI,42.0,20.0,2000.0,6,Single,1,4,Self-employed,38,287021.003,0,Canada,37365,5
50.0,4,F,11,10.0,Slum,3,Critical,,20.0,2000.0,1,Single,1,5,Self-employed,38,204372.86800000002,1,Canada,45329,7
29.0,4,M,12,15.0,Trailer,9,EMI,52.0,14104.0,2000.0,2,Separated,1,4,,38,49185.365999999995,1,Canada,25609,8
40.0,4,F,9,14.0,Bungalow,3,EMI,42.0,5198.0,2000.0,1,,0,2,Self-employed,38,161494.828,1,Canada,12858,9
35.0,2,F,15,11.0,,3,EMI,82.0,20.0,2000.0,1,Single,1,4,MNC,38,280593.39,1,Canada,38551,10
21.0,4,M,9,14.0,Apartment,0,EMI,32.0,20.0,2000.0,4,Separated,0,2,MNC,38,118373.254,0,Canada,42945,12
30.0,2,F,7,13.0,Apartment,11,EMI,52.0,20.0,2000.0,2,Separated,1,4,MNC,38,199655.83800000002,0,Canada,14951,13
38.0,1,F,8,12.0,Slum,2,EMI,,20.0,2000.0,1,Single,1,3,MNC,38,120373.51800000001,1,Canada,49747,14
32.0,0,F,5,5.0,Apartment,13,EMI,47.0,20.0,2000.0,1,Single,0,2,MNC,25,237966.857,0,Canada,39469,15
23.0,4,F,11,10.0,Trailer,4,Critical,37.0,20.0,2000.0,4,Separated,1,2,,38,173245.30800000002,0,Canada,35273,16
