Role,Invested in Real Estate,Extra Hours,Invested in Stock Market,Favourite Sport,Gender,Languages Known,Sport Knowledge (in XP),Average no. of leaves/month,Trades Done,Married(1/0),Level of Education,Occupation,Pay,ID Proof,Most Productive Hour,Tax Category,Income Category,Employer,Tax Paid,Id
Part-time,,Paid,Tesla,swimming,female,1,,2,56,0,Masters,0,2416.73,Driving License,8,258,2.0,,29597,0
Full-time,Ocean Side,Paid,Tesla,cricket,female,3,2.0,0,42,1,Graduation,4,302.73,Driving License,8,148,2.0,Vision-Analytics,49218,1
Full-time,Ocean Side,Unpaid,Tesla,soccer,male,3,35.0,4,31,0,Graduation,8,275.73,Driving License,8,73,2.0,Vision-Analytics,14764,2
Full-time,Ocean Side,Paid,Tesla,polo,female,4,70.0,1,45,0,,7,1779.73,Driving License,8,89,2.0,Vision-Analytics,46868,3
Part-time,Country Side,Paid,Tesla,soccer,male,3,25.0,5,31,1,,11,274.73,Driving License,8,195,2.0,Vision-Analytics,21859,4
Part-time,Ocean Side,Paid,Tesla,None,female,1,82.0,3,40,-1,Masters,8,275.73,Driving License,8,377,2.0,,23961,7
Part-time,,Paid,Tesla,None,male,1,63.0,5,56,0,High School,10,394.73,Driving License,8,47,2.0,Vision-Analytics,20364,8
Part-time,Ocean Side,Paid,Tesla,,male,3,,1,41,1,Graduation,4,866.73,Driving License,8,52,2.0,Vision-Analytics,27894,9
Full-time,Ocean Side,Paid,Tesla,basketball,male,2,96.0,0,39,-1,Graduation,3,543.73,Driving License,8,219,,Vision-Analytics,26185,10
Part-time,Ocean Side,Paid,Tesla,basketball,male,3,37.0,5,55,0,Graduation,6,435.73,Driving License,8,171,,,19323,14
Part-time,Ocean Side,Paid,Tesla,None,male,3,5.0,3,49,0,High School,10,502.73,Driving License,8,350,2.0,Vision-Analytics,22145,15
Full-time,,Paid,Tesla,soccer,male,1,61.0,5,43,1,,3,286.73,Driving License,8,95,2.0,Vision-Analytics,22664,16
Full-time,Ocean Side,Paid,Tesla,cricket,female,2,,4,58,0,High School,10,333.73,Driving License,8,216,2.0,Vision-Analytics,34549,18
Full-time,Ocean Side,Paid,Tesla,polo,female,3,36.0,5,31,0,Graduation,6,273.73,Driving License,8,51,2.0,Vision-Analytics,37884,19
Part-time,Ocean Side,Unpaid,Tesla,,female,2,84.0,0,26,0,Graduation,7,996.73,Driving License,8,259,2.0,Vision-Analytics,16686,20
Full-time,Ocean Side,Paid,Tesla,basketball,male,2,88.0,5,54,0,Masters,0,1052.73,Driving License,8,161,2.0,,26161,21
Part-time,Ocean Side,Unpaid,Tesla,None,female,1,60.0,0,30,1,High School,7,296.73,Driving License,8,157,2.0,Vision-Analytics,11107,22
Full-time,Ocean Side,Paid,Tesla,basketball,female,1,80.0,4,23,0,Graduation,6,323.73,Driving License,8,339,2.0,Vision-Analytics,32982,23
Part-time,,Unpaid,Tesla,badminton,male,4,94.0,4,38,0,High School,10,273.73,Driving License,8,178,2.0,Vision-Analytics,23819,24
Full-time,Ocean Side,Paid,Tesla,soccer,male,4,1.0,0,42,0,Graduation,3,98.27,Driving License,8,169,2.0,Vision-Analytics,29170,25
Part-time,Ocean Side,Unpaid,Tesla,swimming,female,1,,3,50,0,Graduation,8,386.73,Driving License,8,124,2.0,Vision-Analytics,21026,27
Part-time,Ocean Side,Paid,Tesla,badminton,female,3,22.0,0,44,1,Graduation,0,27.73,Driving License,8,252,2.0,,39170,28
Part-time,Ocean Side,Unpaid,Tesla,badminton,female,4,38.0,2,34,1,Graduation,4,538.73,Driving License,8,345,2.0,Vision-Analytics,24343,29
Part-time,Country Side,Unpaid,Tesla,swimming,female,4,48.0,2,55,0,Graduation,4,,Driving License,8,222,2.0,Vision-Analytics,40402,30
Full-time,Ocean Side,Paid,Tesla,None,female,1,62.0,1,47,0,Masters,0,651.73,Driving License,8,227,2.0,Vision-Analytics,11013,31
